EmployeeID,Attrition_binary,Age,JobSatisfaction,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,MaritalStatus,NumCompaniesWorked,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department,MonthlyIncome,PercentSalaryHike,children,Manager_relation_satisfaction
1,1,41,4,2,Life Sciences,2,Female,94,3,Single,8,3,8,0,1,6,4,0,5,Sales,5993,11,0,1
2,1,37,3,2,Other,4,Male,92,2,Single,6,3,7,3,3,0,0,0,0,Research & Development,2090,15,0,2
3,0,32,4,2,Life Sciences,4,Male,79,3,Single,0,3,8,2,2,7,7,3,6,Research & Development,3068,13,0,3
4,0,38,3,3,Life Sciences,4,Male,44,2,Single,0,4,10,2,3,9,7,1,8,Research & Development,9526,21,0,2
5,0,29,3,2,Life Sciences,4,Female,49,2,Single,0,3,10,3,3,9,5,0,8,Research & Development,4193,12,0,4
6,1,28,3,3,Life Sciences,3,Male,50,2,Single,5,3,6,4,3,4,2,0,3,Research & Development,2028,14,0,2
7,0,38,4,3,Life Sciences,4,Male,45,3,Single,5,3,6,3,3,3,2,1,2,Research & Development,3944,11,0,3
8,1,36,1,4,Life Sciences,3,Male,82,2,Single,7,4,10,4,3,5,3,0,3,Sales,3407,23,0,2
9,0,34,2,4,Life Sciences,1,Female,53,3,Single,0,3,13,4,3,12,6,2,11,Research & Development,11994,11,0,3
10,0,21,4,2,Life Sciences,3,Male,96,3,Single,1,3,0,6,3,0,0,0,0,Research & Development,1232,14,0,4
11,1,34,1,1,Medical,2,Male,83,3,Single,2,3,8,2,3,4,2,1,3,Research & Development,2960,11,0,3
12,1,32,1,1,Life Sciences,2,Female,72,1,Single,1,4,10,5,3,10,2,6,7,Research & Development,3919,22,0,2
13,0,46,1,4,Marketing,2,Female,83,3,Single,3,3,22,2,2,2,2,2,1,Sales,18947,12,0,4
14,0,33,4,3,Medical,3,Male,78,3,Single,4,3,7,3,3,1,1,0,0,Research & Development,2496,11,0,4
15,0,30,3,2,Medical,4,Male,83,2,Single,1,3,10,5,3,10,0,1,8,Research & Development,2206,13,0,1
16,1,26,3,3,Life Sciences,1,Male,48,1,Single,1,3,1,2,2,1,0,0,1,Research & Development,2293,12,0,3
17,0,27,3,3,Life Sciences,4,Male,37,3,Single,1,3,9,0,3,9,8,1,7,Sales,8726,15,0,4
18,0,30,4,2,Medical,3,Female,58,3,Single,1,4,12,2,3,12,8,3,7,Research & Development,4011,23,0,4
19,0,34,3,4,Marketing,2,Male,72,3,Single,0,4,10,2,3,9,5,8,7,Sales,4568,20,0,3
20,0,46,4,4,Marketing,1,Male,98,3,Single,4,4,14,4,3,9,6,0,8,Sales,5772,21,0,3
21,1,48,3,2,Life Sciences,1,Male,98,2,Single,9,3,23,2,3,1,0,0,0,Research & Development,5381,13,0,4
22,1,28,3,4,Technical Degree,3,Male,50,3,Single,1,3,2,3,2,2,2,2,2,Research & Development,3441,13,0,3
23,0,33,4,2,Life Sciences,1,Female,98,3,Single,1,3,15,1,3,15,14,8,12,Research & Development,13458,12,0,3
24,0,38,4,5,Life Sciences,4,Female,50,3,Single,1,3,10,2,3,10,3,9,9,Research & Development,2406,11,0,4
25,0,59,1,3,Life Sciences,1,Female,99,3,Single,7,3,28,3,2,21,16,7,9,Sales,7637,11,0,4
26,0,36,2,3,Life Sciences,2,Male,95,2,Single,1,3,6,3,3,6,5,0,3,Research & Development,6499,13,0,3
27,0,59,3,1,Life Sciences,1,Female,57,2,Single,7,3,20,2,2,4,3,1,3,Sales,5473,11,0,4
28,0,31,2,4,Medical,3,Male,87,3,Single,1,3,1,4,3,1,1,1,0,Research & Development,2501,17,0,2
29,0,31,4,4,Life Sciences,3,Female,61,3,Single,1,4,11,2,3,11,7,1,8,Research & Development,4424,23,0,4
30,0,35,1,4,Marketing,3,Male,32,2,Single,0,3,16,2,3,15,13,2,8,Sales,4312,14,0,2
31,0,37,3,4,Medical,1,Male,30,3,Single,4,3,16,3,4,5,2,0,2,Research & Development,13664,13,0,1
32,0,35,3,3,Medical,2,Male,30,2,Single,1,3,6,3,3,6,4,0,4,Research & Development,2859,18,0,1
33,0,56,4,3,Life Sciences,4,Male,49,1,Single,4,3,37,3,2,6,4,0,2,Research & Development,7260,11,0,1
34,1,46,4,2,Medical,3,Male,64,2,Single,1,3,9,3,3,9,8,4,7,Sales,9619,16,0,4
35,0,51,4,4,Marketing,3,Male,71,3,Single,0,4,11,2,1,10,7,1,0,Sales,5441,22,0,4
36,0,32,3,4,Medical,2,Male,87,3,Single,1,3,12,0,3,11,8,5,7,Sales,5010,16,0,1
37,0,58,3,4,Medical,4,Male,37,3,Single,0,3,38,1,2,37,10,1,8,Sales,13872,13,0,3
38,0,32,1,1,Life Sciences,4,Male,71,3,Single,1,3,1,2,3,1,0,0,0,Research & Development,2956,13,0,4
39,1,20,4,3,Life Sciences,4,Female,66,2,Single,1,3,1,5,3,1,0,1,0,Research & Development,2926,18,0,2
40,0,34,3,4,Other,1,Female,41,3,Single,1,3,16,3,3,16,13,2,10,Research & Development,4809,14,0,3
41,1,25,3,3,Marketing,3,Male,46,2,Single,1,3,6,1,3,6,4,0,3,Sales,5744,11,0,4
42,0,22,4,3,Medical,2,Female,59,3,Single,1,3,1,5,3,0,0,0,0,Research & Development,2871,15,0,3
43,0,51,1,4,Medical,1,Female,30,2,Single,3,4,23,1,2,13,12,12,8,Research & Development,7484,20,0,3
44,1,34,3,3,Life Sciences,1,Male,66,1,Single,1,4,9,3,3,9,7,0,6,Research & Development,6074,24,0,4
45,0,54,4,3,Human Resources,4,Female,30,4,Single,2,3,23,3,3,5,3,4,4,Human Resources,17328,12,0,3
46,0,37,4,3,Life Sciences,3,Male,87,3,Single,2,3,12,3,3,5,3,1,3,Sales,7428,12,0,1
47,0,34,1,3,Medical,3,Female,45,2,Single,2,3,14,6,3,11,10,5,8,Research & Development,11631,12,0,4
48,0,51,3,3,Life Sciences,1,Male,51,3,Single,7,3,23,5,3,20,18,15,15,Research & Development,19537,13,0,3
49,1,19,3,1,Marketing,4,Male,50,3,Single,1,3,0,2,2,0,0,0,0,Sales,1675,19,0,4
50,0,43,3,3,Medical,2,Female,72,4,Single,4,3,18,2,3,3,2,1,2,Research & Development,4739,12,0,4
51,0,50,4,3,Marketing,3,Female,77,3,Single,4,3,16,3,3,2,2,2,1,Sales,9208,11,0,4
52,1,51,4,4,Life Sciences,1,Male,53,1,Single,2,3,18,2,3,4,2,0,3,Research & Development,10650,15,0,4
53,1,32,1,3,Medical,1,Female,41,3,Single,7,4,10,2,4,5,4,0,4,Research & Development,4200,22,0,1
54,0,45,4,3,Medical,3,Male,83,3,Single,5,3,9,2,2,6,5,0,3,Research & Development,3452,13,0,2
55,0,38,3,5,Technical Degree,4,Female,32,3,Single,3,4,19,2,3,3,2,2,2,Research & Development,4317,20,0,2
56,0,30,3,3,Life Sciences,1,Female,75,3,Single,1,3,5,4,2,5,4,0,4,Research & Development,2632,14,0,3
57,0,30,4,1,Medical,2,Male,35,2,Single,0,3,6,3,3,5,3,1,2,Research & Development,2720,13,0,4
58,0,19,2,1,Medical,2,Female,79,3,Single,1,3,1,3,3,1,0,0,0,Research & Development,1483,14,0,4
59,0,32,4,3,Marketing,2,Female,43,3,Single,1,3,9,2,3,9,8,3,7,Sales,8998,14,0,4
60,0,50,2,3,Life Sciences,3,Female,53,3,Single,3,3,21,5,3,5,4,4,4,Research & Development,19926,15,0,2
61,0,38,4,4,Life Sciences,1,Female,59,2,Single,4,4,12,2,4,8,3,0,7,Sales,8686,22,0,3
62,0,32,3,5,Life Sciences,3,Male,43,3,Single,3,4,8,2,3,5,4,1,4,Research & Development,3038,20,0,1
63,1,19,1,1,Technical Degree,3,Female,100,1,Single,0,4,1,5,4,0,0,0,0,Sales,2325,21,0,1
64,0,36,2,2,Medical,4,Male,30,3,Single,4,3,13,3,2,8,7,7,2,Research & Development,2088,12,0,3
65,0,33,4,3,Life Sciences,3,Male,90,3,Single,0,3,4,2,4,3,1,0,2,Research & Development,2500,14,0,1
66,1,19,4,3,Life Sciences,2,Male,47,2,Single,1,4,1,3,2,1,0,1,0,Research & Development,1102,22,0,3
67,0,38,4,2,Life Sciences,3,Female,75,3,Single,1,3,2,3,3,2,2,2,1,Research & Development,2288,12,0,3
68,0,34,2,2,Medical,4,Female,95,3,Single,2,3,9,3,3,3,2,1,2,Research & Development,2311,15,0,4
69,1,41,2,2,Marketing,2,Female,70,3,Single,1,4,4,5,2,4,3,0,2,Sales,3140,22,0,4
70,0,55,2,4,Medical,3,Male,61,4,Single,8,3,36,3,3,24,15,2,15,Research & Development,18722,11,0,4
71,0,51,2,3,Medical,4,Female,98,3,Single,3,3,21,6,3,7,7,1,0,Research & Development,13734,18,0,3
72,0,27,2,3,Medical,4,Female,99,3,Single,1,3,7,2,2,7,7,0,3,Research & Development,2279,16,0,4
73,0,35,2,3,Medical,2,Female,37,3,Single,5,3,10,5,3,6,2,1,2,Research & Development,4425,11,0,4
74,0,36,4,1,Medical,2,Female,73,3,Single,1,3,8,2,3,8,1,1,7,Research & Development,2153,13,0,1
75,0,30,3,1,Life Sciences,3,Male,88,2,Single,1,4,12,2,3,11,8,5,8,Research & Development,8474,22,0,3
76,0,27,3,3,Life Sciences,4,Female,90,3,Single,1,3,7,2,3,7,7,0,7,Sales,9981,14,0,4
77,1,30,1,3,Technical Degree,4,Female,88,3,Single,5,3,8,5,3,5,2,0,4,Research & Development,2657,11,0,3
78,0,41,4,3,Life Sciences,4,Female,75,3,Single,3,3,16,3,3,1,0,0,0,Sales,13591,18,0,3
79,1,30,1,4,Marketing,3,Female,52,2,Single,5,3,9,5,2,6,3,0,1,Sales,6696,15,0,3
80,1,29,3,3,Technical Degree,3,Male,85,3,Single,0,3,7,1,2,6,2,1,5,Research & Development,2058,14,0,4
81,0,45,4,3,Medical,4,Female,57,2,Single,6,3,23,2,3,19,7,12,8,Sales,8865,12,0,4
82,0,36,2,2,Life Sciences,4,Male,62,3,Single,8,3,16,3,4,13,11,3,7,Research & Development,5914,16,0,4
83,0,35,3,3,Marketing,3,Female,92,3,Single,1,3,10,3,4,10,7,0,8,Sales,8789,14,0,1
84,1,29,4,1,Medical,3,Male,86,2,Single,1,3,4,3,2,4,3,0,1,Research & Development,2389,13,0,3
85,0,52,4,3,Life Sciences,3,Female,89,2,Single,7,3,6,3,2,2,2,2,2,Research & Development,3212,15,0,2
86,0,52,3,4,Life Sciences,1,Male,79,2,Single,1,3,33,2,4,33,7,15,12,Sales,19068,18,0,4
87,1,32,3,3,Life Sciences,4,Male,62,2,Single,0,3,4,2,1,3,2,1,2,Research & Development,3730,14,0,4
88,0,39,3,4,Technical Degree,3,Female,64,3,Single,0,4,20,1,3,19,6,11,8,Research & Development,10938,25,0,4
89,0,29,4,3,Life Sciences,3,Male,60,3,Single,1,3,6,1,3,6,5,1,5,Research & Development,2340,19,0,1
90,0,42,1,2,Life Sciences,4,Female,82,4,Single,3,3,10,1,3,3,2,0,2,Research & Development,6545,13,0,3
91,1,31,2,2,Medical,3,Male,71,2,Single,0,3,6,2,4,5,4,1,4,Research & Development,3479,11,0,2
92,0,32,1,1,Technical Degree,4,Male,84,2,Single,4,3,9,5,3,6,2,0,4,Research & Development,2176,13,0,4
93,1,28,3,4,Life Sciences,1,Male,79,3,Single,2,3,5,5,1,0,0,0,0,Research & Development,3485,11,0,3
94,0,55,1,3,Medical,4,Male,81,3,Single,0,3,37,2,3,36,10,4,13,Research & Development,19045,14,0,3
95,0,21,3,2,Medical,4,Male,100,2,Single,1,3,3,4,4,3,2,1,0,Research & Development,3230,17,0,1
96,0,29,4,2,Life Sciences,2,Male,44,3,Single,1,3,10,3,2,10,7,0,9,Sales,4554,18,0,1
97,0,37,4,3,Life Sciences,4,Female,42,3,Single,1,3,17,3,3,17,12,5,7,Research & Development,2115,12,0,2
98,0,28,4,2,Life Sciences,4,Female,66,3,Single,1,4,5,3,3,5,3,0,2,Research & Development,3310,21,0,4
99,0,49,1,4,Life Sciences,3,Female,35,3,Single,9,3,22,4,3,3,2,1,2,Research & Development,18665,11,0,4
100,0,36,2,3,Technical Degree,3,Male,30,3,Single,4,3,10,2,3,8,0,7,7,Research & Development,4485,12,0,4
101,1,26,4,4,Marketing,4,Male,48,2,Single,1,3,8,0,3,8,7,7,4,Sales,5828,12,0,2
102,1,18,3,3,Life Sciences,3,Male,54,3,Single,1,3,0,2,3,0,0,0,0,Research & Development,1420,13,0,3
103,0,41,2,4,Life Sciences,4,Male,88,3,Single,1,3,22,2,3,22,10,0,4,Sales,16015,19,0,2
104,0,18,3,3,Medical,4,Female,69,2,Single,1,3,0,2,3,0,0,0,0,Sales,1200,12,0,1
105,0,28,1,2,Medical,2,Male,68,4,Single,0,3,9,2,3,8,3,0,7,Research & Development,5661,19,0,3
106,0,43,4,4,Life Sciences,3,Female,33,3,Single,0,3,9,5,3,8,7,1,7,Research & Development,2455,19,0,1
107,0,49,3,2,Technical Degree,3,Female,90,2,Single,7,3,25,2,3,7,1,0,7,Research & Development,13964,12,0,4
108,0,27,2,3,Life Sciences,3,Female,85,3,Single,1,3,4,2,2,4,3,1,2,Research & Development,2478,12,0,2
109,0,27,3,3,Life Sciences,4,Male,74,3,Single,1,3,5,3,3,5,4,0,4,Sales,4478,11,0,1
110,0,32,4,4,Medical,1,Female,74,4,Single,7,3,10,0,2,7,7,0,7,Research & Development,5055,16,0,3
111,0,33,4,3,Marketing,2,Male,46,2,Single,3,3,9,6,2,7,7,0,1,Sales,4682,14,0,3
